State;Commercial Gaming Revenue 2023(Million);Annual Change %;;
Arkansas;686,60;11,80;;
Colorado;1500,00;4,80;;
Connecticut;579,90;39,30;;
Delaware;502,50;3,20;;
Florida;690,90;-0,40;;
Illinois;2500,00;17,80;;
Indiana;2800,00;-2,30;;
Iowa;1900,00;0,80;;
Kansas;588,30;23,00;;
Louisiana;2700,00;3,80;;
Maine;175,10;6,10;;
Maryland;2500,00;13,50;;
Massachusetts;1600,00;47,30;;
Michigan;3500,00;9,90;;
Mississippi;2500,00;-3,50;;
Missouri;1900,00;0,10;;
Montana;8,40;17,80;;
Nebraska;89,10;534,70;;
Nevada;15500,00;4,60;;
New Hampshire;80,30;20,30;;
New Jersey;5800,00;10,90;;
New Mexico;270,90;3,40;;
New York;4700,00;11,60;;
Ohio;3300,00;42,30;;
Oklahoma;151,40;0,40;;
Oregon;64,30;53,10;;
Pennsylvania;5800,00;9,80;;
Rhode Island;707,50;2,80;;
South Dakota;147,60;3,30;;
Tennessee;468,40;23,50;;
Virginia;1100,00;98,00;;
Washington D.C.;19,10;-17,60;;
West Virginia;801,80;4,30;;
Wyoming;17,30;16,90;;
